repetition,scenario,defense,queries,abstract_query_cost,abstract_latency_ms,simulated_realistic_latency_ms
2,version_race,AP2_ONLY,0,0,4.7115,0.0
2,version_race,MAJORITY,5,14,61.2197,407.0721
2,version_race,TTL,0,0,25.0961,0.0
2,version_race,FULL,5,14,75.5865,260.1697
2,version_race,CWR,0,0,2.9144,0.0
2,version_race,DFMR,0,0,2.9418,0.0
2,evidence_denial,AP2_ONLY,0,0,4.1167,0.0
2,evidence_denial,MAJORITY,5,14,9.9865,237.3401
2,evidence_denial,TTL,0,0,3.0696,0.0
2,evidence_denial,FULL,5,14,42.9774,155.2391
2,evidence_denial,CWR,3,10,7.9276,227.3536
2,evidence_denial,DFMR,5,14,33.7259,1482.764
2,amount_mutation,AP2_ONLY,0,0,3.3078,0.0
2,amount_mutation,MAJORITY,0,0,2.9221,0.0
2,amount_mutation,TTL,0,0,2.993,0.0
2,amount_mutation,FULL,0,0,3.3784,0.0
2,amount_mutation,CWR,0,0,3.0266,0.0
2,amount_mutation,DFMR,0,0,3.3305,0.0
2,merchant_substitution,AP2_ONLY,0,0,2.8449,0.0
2,merchant_substitution,MAJORITY,0,0,2.9911,0.0
2,merchant_substitution,TTL,0,0,2.8719,0.0
2,merchant_substitution,FULL,0,0,2.7505,0.0
2,merchant_substitution,CWR,0,0,2.9169,0.0
2,merchant_substitution,DFMR,0,0,3.2072,0.0
2,currency_substitution,AP2_ONLY,0,0,2.8382,0.0
2,currency_substitution,MAJORITY,0,0,3.6666,0.0
2,currency_substitution,TTL,0,0,3.1488,0.0
2,currency_substitution,FULL,0,0,2.8182,0.0
2,currency_substitution,CWR,0,0,3.1634,0.0
2,currency_substitution,DFMR,0,0,2.676,0.0
2,evidence_signature_tampering,AP2_ONLY,0,0,8.0284,0.0
2,evidence_signature_tampering,MAJORITY,5,14,64.6056,168.5939
2,evidence_signature_tampering,TTL,0,0,3.0074,0.0
2,evidence_signature_tampering,FULL,5,14,77.6245,204.5535
2,evidence_signature_tampering,CWR,3,10,7.1107,232.7033
2,evidence_signature_tampering,DFMR,5,14,22.0184,762.5878
2,ap2_token_tampering,AP2_ONLY,0,0,0.1071,0.0
2,ap2_token_tampering,MAJORITY,0,0,0.0702,0.0
2,ap2_token_tampering,TTL,0,0,0.071,0.0
